,Census Tract,Ozone,PM2.5,Diesel PM,Pesticides,Tox. Release,Traffic,Asthma,Low Birth Weight,Cardiovascular Disease,Poverty,Unemployment
0,6019001100,0.065,15.4,48.524,2.75,18551.95719,909.14,131.64,7.44,14.13,76.3,17.6
1,6071001600,0.062,13.31,38.556,1.37,7494.236622,782.26,60.66,7.04,12.94,72.5,12.3
2,6019000200,0.062,15.4,47.445,3.03,12454.94841,576.52,142.12,10.16,14.96,86.8,16.1
3,6077000801,0.046,12.54,24.117,12.93,2387.782922,1305.01,142.17,6.23,14.72,61.3,19.6
4,6019001500,0.065,15.4,18.846,3518.41,21790.70672,435.16,90.48,4.5,12.82,66.4,18.6
5,6037204920,0.046,12.89,56.52,0.0,39040.17995,2943.44,68.74,7.35,10.4,66.4,11.6
6,6077000300,0.046,13.44,21.76,172.49,707.5361575,885.52,169.56,8.36,12.7,76.2,14.4
7,6019001000,0.065,15.4,20.848,1435.93,6996.962409,243.54,142.28,7.83,14.96,74.5,20.0
8,6037206050,0.046,12.89,53.958,0.0,10378.23648,2810.82,58.03,6.71,7.24,75.7,28.5
9,6019000400,0.065,15.4,54.356,114.96,125383.892,815.36,107.8,4.79,14.75,83.4,23.5
10,6099002100,0.053,12.89,24.585,14.38,1033.797912,606.03,94.54,5.37,13.59,78.3,19.3
11,6029002500,0.065,19.18,20.42,3.47,49.70815719,675.16,89.83,6.28,11.77,73.8,28.5
12,6019000600,0.065,15.4,54.243,88.58,7030.451231,591.37,118.86,7.87,10.12,89.5,21.7
13,6019001201,0.065,15.4,27.565,0.0,19782.60168,347.88,89.51,5.28,12.74,70.7,20.1
14,6037205120,0.046,12.89,50.075,0.0,19178.66447,887.21,68.74,5.14,10.4,78.3,16.9
15,6019000902,0.065,15.4,47.943,683.81,25476.58305,170.75,142.28,9.24,14.96,77.5,21.8
16,6037291220,0.044,12.05,27.16,68.63,8937.64998,2467.25,66.49,6.54,8.87,53.4,8.9
17,6019001202,0.065,15.4,27.699,11.74,8837.26905,291.45,78.61,4.94,11.16,77.8,21.6
18,6019000800,0.062,15.4,13.163,1031.87,7265.254475,127.2,142.28,8.9,14.96,76.5,18.5
19,6019000300,0.065,15.4,53.066,26.78,35783.10251,434.57,142.28,8.12,14.96,78.7,11.5
20,6037239202,0.046,12.47,26.33,0.0,4808.807974,930.42,91.39,7.0,12.62,76.3,13.6
21,6037226002,0.046,12.89,46.142,0.0,6139.175596,1929.83,149.88,5.71,8.24,65.3,11.1
22,6077000700,0.046,13.5,22.055,73.13,810.2517341,1022.65,123.86,4.25,13.58,79.5,16.5
23,6019000901,0.065,15.4,47.24,699.89,13674.44729,195.77,142.28,9.09,14.96,80.8,26.2
24,6077000100,0.046,13.53,19.735,18.64,629.2738636,495.25,176.3,6.53,10.87,86.0,30.8
25,6099002302,0.053,12.89,22.835,19.78,658.156468,910.22,95.77,5.42,15.79,73.5,24.1
26,6071004900,0.065,12.47,32.455,0.0,1111.567743,847.17,121.39,5.97,15.23,74.0,20.0
27,6037535400,0.044,12.05,25.04,0.0,5904.681637,1094.36,88.42,5.27,12.7,75.4,17.9
28,6019000700,0.062,15.4,19.621,20.94,7246.016392,438.28,142.18,9.84,14.94,65.6,11.5
29,6065030300,0.065,12.89,29.001,0.0,1186.290627,1045.59,108.89,7.11,12.27,56.2,18.4
30,6019007100,0.065,15.82,15.227,388.51,735.6523341,543.06,101.34,5.92,11.65,71.2,15.3
31,6037243100,0.044,12.05,25.04,0.0,5852.275263,2521.07,105.29,9.99,11.72,76.0,15.0
32,6037543305,0.042,11.63,31.198,36.2,6896.098953,1418.39,106.87,10.0,12.47,34.1,12.1
33,6071005701,0.065,12.05,38.37,0.0,707.1247544,747.98,131.79,8.97,18.3,89.3,17.4
34,6037204600,0.046,12.89,54.194,0.0,10365.37086,2937.84,73.07,5.81,9.25,71.0,14.9
35,6037227010,0.046,12.89,42.594,0.0,6136.500335,982.78,64.02,6.04,9.65,72.2,11.8
36,6099002301,0.053,12.89,17.546,840.89,593.611198,1090.88,79.42,5.5,12.24,65.6,23.4
38,6077001900,0.046,13.61,20.703,17.93,582.0127436,824.07,94.01,5.1,12.91,75.5,15.6
39,6037206032,0.046,12.89,62.68,0.0,7806.44435,2658.05,95.89,4.17,10.33,69.2,8.2
40,6037226001,0.046,12.89,41.684,0.0,5941.164907,2289.68,87.25,6.16,9.3,79.3,4.1
41,6037239501,0.046,12.05,26.33,0.0,5153.308202,1289.16,72.52,7.41,10.79,72.2,17.6
42,6019002000,0.062,15.4,38.25,0.02,3657.292495,827.41,91.21,8.44,8.81,80.7,21.6
43,6077005119,0.05,12.05,13.467,1994.23,1144.795122,1088.07,65.67,6.3,10.67,34.7,11.3
44,6037203100,0.046,12.89,31.02,0.0,6735.289812,2969.91,76.55,5.17,8.65,76.1,14.9
45,6037530700,0.046,12.47,31.02,0.0,8000.0,1829.52,54.46,8.0,10.53,54.3,19.0
46,6073005000,0.038,11.21,110.8,0.0,1176.628601,1144.32,127.1,5.4,9.63,82.8,17.2
47,6037301601,0.053,12.05,25.934,0.0,1882.547416,2095.06,32.65,6.33,9.9,49.9,12.2
48,6037185320,0.046,12.89,28.12,0.0,3996.547625,1781.48,69.42,7.05,7.73,65.6,13.3
49,6037543202,0.042,12.05,35.92,0.0,6626.914092,1641.48,110.81,5.2,12.82,62.9,14.8
50,6065030502,0.065,12.89,43.217,0.0,940.1426992,1545.2,61.55,6.69,9.04,64.8,17.3
51,6071012500,0.065,12.47,29.033,0.0,800.1737046,1617.04,95.84,7.47,16.38,70.0,7.3
52,6037531302,0.046,12.47,56.52,0.0,58357.83013,3299.97,55.5,5.19,8.58,65.6,14.4
53,6019001301,0.065,15.4,24.31,0.29,5811.241525,562.71,119.79,6.59,17.15,82.7,20.3
54,6019002502,0.065,15.4,43.346,0.0,2492.474237,1119.37,115.44,7.2,16.4,87.5,23.1
55,6037402801,0.057,12.89,22.902,0.0,7176.500215,648.27,66.33,6.36,9.77,71.8,11.6
56,6019001304,0.065,15.4,24.31,0.2,8703.269449,365.32,116.56,6.17,16.69,81.4,22.1
57,6077002201,0.046,12.85,21.699,27.13,763.4048111,318.32,128.15,9.28,14.74,68.3,15.0
58,6037532304,0.046,12.05,26.108,0.0,12105.33825,1825.61,56.67,5.29,10.24,47.7,12.6
59,6019001303,0.065,15.4,24.31,0.0,15053.03477,347.82,98.82,7.93,14.14,92.1,13.0
60,6029002200,0.065,19.6,25.57,0.0,38.46174593,583.48,89.83,8.2,11.77,80.6,35.4
61,6037205110,0.046,12.89,42.82,0.0,14659.83047,974.3,68.74,5.45,10.4,78.8,5.5
62,6037570502,0.042,11.63,24.22,7.0,6181.981699,1191.12,87.58,7.45,10.71,45.2,15.8
63,6037291210,0.044,12.05,27.173,26.86,7007.6189,2498.31,70.23,6.18,9.31,53.0,9.1
64,6037219901,0.046,12.05,24.45,0.07,2007.831902,3125.62,100.42,6.1,9.96,74.8,12.6
65,6037534202,0.046,12.05,16.885,38.62,8608.657111,713.01,48.15,6.44,10.08,75.4,17.1
66,6037540400,0.044,12.05,25.04,0.0,5968.050135,2333.93,90.58,4.68,10.34,80.2,18.3
67,6065046700,0.065,12.89,15.573,0.03,604.8258591,1258.41,66.89,6.75,10.66,67.8,21.3
68,6029002301,0.065,19.6,25.148,1.42,22.92078576,509.04,86.67,6.29,11.35,76.3,21.8
69,6071002501,0.065,13.31,29.312,22.12,5424.081436,1666.33,69.46,6.02,12.25,50.0,10.4
70,6019008502,0.065,16.24,9.162,3880.18,1549.949899,293.05,102.83,5.83,13.81,74.7,18.7
71,6019000502,0.065,15.4,54.397,5.16,3938.730359,982.2,124.96,8.32,11.31,80.7,13.4
72,6037242100,0.044,12.05,25.04,0.0,5842.945149,832.63,88.42,5.87,12.7,87.2,16.9
73,6037203500,0.046,12.89,62.68,0.0,6863.580217,3513.85,95.93,4.36,10.33,56.5,11.2
74,6037302401,0.051,12.05,24.86,0.0,2433.697267,805.67,67.93,5.78,9.85,49.4,11.0
75,6067005301,0.046,9.53630303,17.794,0.41,1700.626695,1391.76,76.08,14.89,9.25,90.8,60.5
76,6037204820,0.046,12.89,52.087,0.0,20285.50989,3666.72,68.74,5.71,10.4,50.7,6.1
77,6037532302,0.046,12.47,55.371,0.0,75486.33394,2580.34,61.9,4.51,10.9,60.2,14.2
78,6073004900,0.038,11.21,110.8,0.0,606.425948,1565.15,127.1,5.61,9.63,72.6,14.6
79,6037229420,0.046,12.89,26.33,0.0,4903.856805,974.32,61.02,6.91,9.26,71.3,10.9
80,6037541001,0.044,12.05,27.308,3.76,6502.603969,470.36,68.35,6.6,10.28,47.2,17.7
81,6099002200,0.053,12.89,23.585,0.0,615.9232707,953.39,92.45,5.84,15.11,76.4,19.5
83,6073003902,0.038,11.21,58.557,0.0,4415.764498,1208.22,127.1,4.96,9.63,76.6,20.7
84,6037239701,0.046,12.05,25.97,0.0,4785.991331,4775.03,95.56,8.41,13.17,79.2,13.2
85,6077002300,0.046,13.09,21.68,1.06,845.7725384,367.83,128.15,5.59,14.74,74.9,18.0
86,6037570301,0.042,12.05,29.03,4.42,6085.244937,1554.95,87.56,7.08,10.71,52.6,14.8
87,6071012400,0.065,12.05,41.058,0.0,644.3547829,1493.05,96.15,5.48,13.33,57.9,16.0
88,6037128302,0.055,11.21,25.49,0.0,817.4485361,1595.64,66.93,7.47,12.2,71.6,12.8
89,6037242700,0.044,12.05,25.04,0.0,5725.469925,2101.41,88.01,7.7,10.5,85.5,20.4
90,6065031300,0.065,12.05,17.52,13.08,11168.95806,2174.7,60.13,5.41,8.93,63.4,17.1
91,6071007000,0.065,12.47,42.576,0.0,830.7216942,1325.15,88.8,5.72,15.04,66.9,18.1
92,6037533001,0.046,12.05,23.49,0.0,5709.953193,790.07,79.03,6.19,12.37,74.7,12.0
93,6037121222,0.055,12.05,23.31,0.0,1022.925341,2055.12,77.04,7.03,8.41,70.8,11.6
94,6037532800,0.046,12.47,24.493,0.0,5361.16416,1005.81,78.89,7.53,12.35,76.3,6.9
95,6037239601,0.046,12.05,26.33,0.0,4678.640037,4021.64,95.56,5.57,13.17,77.2,17.4
96,6037575401,0.042,11.21,29.12,1.43,14453.79426,820.59,116.32,6.19,11.4,79.1,14.2
97,6077002401,0.046,12.98,21.755,0.0,949.3612286,1319.02,128.15,5.27,14.74,72.1,20.8
98,6037534201,0.046,12.05,18.493,19.49,8988.652776,2757.89,48.15,4.54,10.08,70.9,10.2
99,6037122410,0.055,12.05,21.73,0.0,1121.260416,808.32,78.9,5.37,13.7,73.8,16.5
100,6037239702,0.046,12.05,24.76,0.0,4876.021333,3720.67,95.56,8.92,13.17,73.0,13.1
102,6073003601,0.038,11.21,42.597,0.0,875.7058339,1703.39,125.77,5.69,9.56,74.5,16.8
103,6037228100,0.046,12.89,42.82,0.0,6132.236744,530.13,65.14,4.9,9.6,76.2,12.4
104,6037292000,0.042,12.05,19.699,0.03,10548.6642,2511.49,59.49,5.95,7.15,56.7,18.6
105,6037434001,0.05,12.05,32.03,16.71,8051.796181,971.38,56.43,5.13,7.38,63.6,14.3
106,6037122122,0.055,12.05,37.276,0.0,1100.164818,1625.33,77.04,5.0,8.41,55.4,14.8
107,6099001500,0.053,12.89,15.428,1528.52,564.7514342,650.75,83.51,4.38,13.4,54.6,25.0
108,6037242600,0.044,12.05,25.04,0.0,5631.459453,3279.99,105.29,7.05,11.72,88.1,39.7
109,6077000900,0.048,13.44,20.032,0.36,826.3113751,1960.84,149.5,7.32,12.31,57.3,22.5
110,6037228900,0.046,12.47,23.49,0.0,5940.839994,577.44,76.55,7.2,10.27,84.8,13.5
111,6037433302,0.05,11.63,32.03,0.0,7081.275742,2059.86,67.93,4.63,8.58,78.4,14.4
112,6099001400,0.053,12.89,22.0,16.74,915.0099419,858.77,97.48,5.38,12.46,61.4,27.9
113,6099002402,0.053,12.89,19.35,624.55,668.6804943,538.15,84.77,5.9,12.16,82.2,24.9
114,6071005600,0.065,12.05,37.59,0.0,839.7930723,981.21,119.54,7.48,15.77,84.6,19.5
115,6019003001,0.065,15.4,25.39,0.63,2236.343215,558.67,75.44,6.61,10.71,57.2,12.6
116,6037402304,0.057,12.47,25.468,0.0,8587.711816,810.09,77.44,4.69,9.0,74.3,22.8
117,6037122420,0.055,12.05,21.73,0.0,1156.096193,969.19,71.23,7.22,12.13,57.4,9.8
118,6037536103,0.044,12.05,18.53,0.03,7030.105063,1081.69,46.23,5.48,11.83,42.3,12.3
119,6037199700,0.046,12.89,62.433,0.0,5566.077134,2355.35,45.01,6.56,5.94,66.4,12.4
121,6029002100,0.065,19.18,25.57,0.0,45.75489149,719.8,89.83,7.65,11.77,71.6,22.2
122,6037219902,0.046,12.05,24.45,0.24,1939.803289,2086.55,83.36,6.46,8.56,54.6,10.9
123,6037206300,0.046,12.89,61.232,0.0,6440.180577,645.7,90.55,9.89,5.06,94.9,41.1
124,6037123206,0.055,12.05,40.007,0.0,1257.986471,1078.75,61.15,6.25,11.23,64.6,10.4
125,6077000600,0.046,13.61,21.68,0.11,637.8737156,642.67,90.94,7.01,12.43,80.6,14.9
126,6065030104,0.065,12.89,37.024,0.0,1098.770327,1725.72,102.96,5.59,11.82,44.9,19.1
127,6071004004,0.065,12.89,21.997,0.01,1073.38959,1507.26,55.09,6.69,9.0,54.9,13.8
128,6037540901,0.044,12.05,27.84,0.0,5497.891787,1815.31,81.72,8.61,10.17,58.5,15.4
129,6037532603,0.046,12.05,23.49,0.0,6614.764952,806.73,59.17,5.56,11.01,77.0,15.6
130,6029002400,0.065,19.6,8.677,314.73,173.7907491,537.47,89.83,4.55,11.77,62.8,17.5
131,6065042505,0.065,12.89,27.03,0.0,891.1838744,1520.45,58.11,6.98,8.7,74.2,20.5
132,6071002204,0.065,13.31,30.969,0.0,5527.415108,1095.52,74.22,4.6,13.01,56.0,18.7
133,6037239502,0.046,12.05,26.33,0.0,5111.57156,979.6,68.91,6.83,10.35,67.1,18.9
134,6019003805,0.062,15.4,35.276,5.98,2656.837802,1131.46,88.39,6.12,10.71,77.3,18.1
135,6037553601,0.044,12.05,26.611,0.0,8306.36672,1626.68,50.32,7.26,9.7,47.9,12.0
136,6037402804,0.057,12.89,22.77,0.0,7345.338449,481.45,70.31,6.14,10.29,68.5,9.1
137,6019001800,0.065,15.4,8.728,2239.24,3024.583829,286.07,110.07,6.38,12.15,42.9,11.7
138,6071001813,0.062,12.89,29.59,3.33,6159.352785,399.55,42.99,5.43,11.71,68.1,14.3
139,6037534301,0.046,12.05,18.866,0.05,8092.279194,662.27,48.15,5.8,10.08,61.1,15.8
140,6037206200,0.046,12.89,62.68,0.0,6342.833218,614.69,67.73,8.86,4.18,72.2,15.4
141,6037432801,0.05,11.21,20.62,0.31,5943.506255,1652.23,53.71,5.96,9.53,61.8,10.4
142,6037601600,0.044,12.05,38.92,4.76,4095.509354,2827.76,68.69,6.04,11.11,51.3,12.8
143,6037229410,0.046,12.89,26.33,0.0,4694.697378,832.79,63.39,5.06,9.61,86.6,15.7
144,6037601401,0.046,12.05,38.92,0.0,2641.37585,2485.36,86.66,8.42,11.71,53.7,12.7
145,6037239602,0.046,12.05,26.33,0.0,4750.177076,4700.41,95.56,5.12,13.17,83.1,15.9
146,6037127400,0.057,10.79,31.67,0.0,756.1055373,2612.0,74.19,7.36,10.44,70.2,13.7
147,6037302302,0.051,12.05,24.86,0.0,2698.895003,854.2,72.69,4.71,10.53,48.5,11.3
148,6037228800,0.046,12.89,29.475,0.0,5893.677164,502.69,64.0,5.89,8.99,74.7,9.9
